Dates,Beta,Book-to-Price,Dividend Yield,Earnings Quality,Earnings Variability,Earnings Yield,Growth,Leverage,Liquidity,Long-Term Reversal,Mid Capitalization,Momentum,Profitability,Residual Volatility,Size,Investment Quality
1/1/1997,-0.000128573,-0.000141389,0.000051916,-0.000012984,-0.000101556,-0.000026375,0.00000632,0.000092532,0.000157122,0.000110814,0.000049418,-0.000260433,0.000105061,0.000310179,-0.000041956,-0.000011144
1/2/1997,-0.002141525,0.000177113,-0.000117933,0.000116595,0.001211295,0.001227888,-0.000633914,-0.000371693,0.000085489,0.00018385,-0.002092141,-0.003599704,0.000066829,0.000121167,0.000095506,0.000020797
1/3/1997,0.001268821,0.000219991,-0.000038264,-0.000035648,0.000493591,0.00019209,-0.000429578,-0.000499749,0.002119238,0.001448841,-0.000824128,-0.000778197,0.000282531,0.001593028,0.001086787,-0.000046687
1/6/1997,0.000022199,0.000683916,0.000230559,0.000741725,0.000723932,0.000348005,0.000334477,-0.000543933,-0.000514403,-0.000174437,-0.000395849,0.001286003,-0.00011032,0.000499191,-0.000272725,-0.000173227
1/7/1997,0.000201996,0.000090115,-0.000507512,0.000261668,0.000211155,0.001326069,0.001156005,0.000121333,-0.000565786,-0.000210833,-0.001014042,-0.000254096,-0.000037956,-0.000627535,0.000227611,-0.000213488
1/8/1997,-0.000409892,-0.000124715,-0.00097953,0.000504381,-0.000469805,0.000642935,0.000723103,-0.000146469,-0.000376438,0.001339726,-0.000980133,-0.001087911,0.000226192,0.000061907,0.000380927,-0.001231289
1/9/1997,-0.000462947,0.000035998,0.000442183,-0.000228572,0.000252271,0.001561794,0.000921041,-0.000407591,0.000261937,0.000127004,0.000474058,0.00045064,-0.000001374,-0.001133054,0.000569317,-0.000699332
1/10/1997,-0.00075758,0.000013767,-0.000729405,-0.001022554,0.000598536,0.001458096,0.000869217,0.00009352,0.000959865,0.000620111,-0.000256488,0.001008306,-0.00066034,-0.0007818,0.00021236,-0.000037762
1/13/1997,0.004178139,0.00030572,0.000103172,0.000111591,0.000558344,-0.001007447,-0.002160744,0.00115428,-0.000611855,-0.00005185,0.000041576,0.000310559,-0.000696136,0.002061892,-0.001556481,0.001103475
1/14/1997,0.001587049,0.000086025,0.000574554,-0.000311895,-0.000239796,-0.000154967,-0.001036657,0.000106535,0.000196401,-0.00039069,-0.000942345,0.00085309,-0.000221466,0.000105733,0.000454802,-0.00052205
1/15/1997,-0.000213506,0.000590035,-0.000786012,-0.000284082,0.000181422,0.000660886,-0.000642423,-0.000196064,-0.001286632,-0.000536293,-0.000430666,0.001395986,0.000191249,-0.001115806,-0.000367899,0.000291448
1/16/1997,-0.000110643,0.000075447,-0.000057396,-0.000551978,0.000176972,-0.000898422,0.000055649,-0.000133443,0.000758248,-0.000202555,0.000114935,0.000279248,-0.000328441,-0.001803681,0.000208051,0.000103658
1/17/1997,0.000029803,-0.000297011,-0.000128417,-0.000197553,-0.000235859,0.000421406,0.000216878,-0.000041322,0.000121497,-0.000751074,-0.001017411,0.000621855,-0.000333646,-0.000294375,-0.000278667,0.00015149
1/20/1997,-0.001104196,0.000536761,-0.000216546,0.000057169,0.000358925,-0.000136285,0.000908718,-0.00031264,0.000497779,-0.000635424,-0.000237625,0.000246933,0.000557917,-0.000922783,-0.001429367,-0.000392551
1/21/1997,0.000618176,0.000277734,0.000584718,0.000153471,-0.000545838,0.000692091,0.000881184,0.000219852,0.001322679,0.000439888,0.000934864,0.000928718,-0.000157898,0.000739975,0.000460425,0.000202503
1/22/1997,0.001639301,0.001228505,0.000293907,0.000416118,0.000255514,-0.00040772,0.000804552,0.000628082,0.0011047,-0.000191233,0.000581005,0.000371173,0.000691727,0.001366604,0.000409089,0.0000552
1/23/1997,-0.000941452,0.000546176,-0.000439347,-0.000190737,-0.000068992,0.000454645,0.000943917,-0.000139719,0.000653015,-0.000219381,-0.000186428,0.000073822,0.000266097,0.000564227,-0.00086605,-0.000182578
1/24/1997,-0.002294928,-0.000780922,-0.000253837,0.000341449,0.000730409,0.001356909,-0.000279335,0.00050734,-0.000489981,-0.00053051,-0.000850757,0.000785489,0.000164018,-0.002604396,-0.001117452,0.000022928
1/27/1997,-0.002863717,0.000535042,-0.000570636,-0.000790338,-0.000266396,0.000961457,0.000446221,0.000056906,-0.000357194,-0.000093026,-0.00102847,-0.000180918,-0.000044951,-0.002666873,0.000169116,-0.001108095
1/28/1997,0.002523834,-0.000225634,-0.00045319,0.000092059,-0.000540915,0.000837032,-0.000171212,0.000640996,-0.000589852,0.000481018,0.000194476,-0.000320292,-0.000426613,-0.000188459,0.000693954,0.000145768
1/29/1997,0.001070227,-0.000897222,-0.000005635,0.000933531,0.000434482,0.000980487,-0.000300539,0.000577448,-0.000255764,0.000332647,0.000277102,0.000785266,-0.000050553,-0.000392657,0.000810548,0.001163192
1/30/1997,0.001078689,0.000037422,0.000312215,0.000360397,0.001071132,0.000286216,-0.00049589,-0.000071343,-0.000128396,0.000717816,-0.000840863,-0.00012643,0.000357616,-0.001385605,0.001214055,-0.000068457
1/31/1997,0.002427499,0.000373141,0.000522461,-0.000153529,0.00059609,-0.000298475,-0.000006826,0.00030699,-0.001440092,-0.00010662,-0.000101537,0.002481642,0.000492197,0.000577553,-0.000086446,-0.000106693
2/3/1997,-0.001461125,-0.000190415,-0.00014956,-0.000043123,0.000991933,0.000393402,0.00024764,0.000214433,-0.001460937,0.000136472,-0.000742112,-0.000099103,0.000850688,-0.000819952,-0.00037576,-0.000088615
2/4/1997,0.000123149,-0.000097035,0.00064355,-0.000030433,0.000284083,0.000664071,-0.000810893,0.000113454,-0.000504258,0.000046744,-0.001417036,0.000629957,-0.000106615,-0.001569883,0.000199654,0.000274559
2/5/1997,-0.001421292,0.000330153,-0.00071786,-0.000359342,-0.000413926,0.001215924,0.000660389,0.000171125,-0.000614769,0.000308437,-0.000361801,0.00075992,0.00036742,-0.002225511,-0.000650182,0.000217267
