Dates,Beta,Dividend Yield,Earnings Quality,Earnings Yield,Growth,Leverage,Liquidity,Long-Term Reversal,Management Quality,Mid Capitalization,Momentum,Profitability,Prospect,Residual Volatility,Size,Value
1995/07/03,0.00038344,0.00031669,-0.00024966,0.00061270,-0.00087360,-0.00004116,0.00031827,-0.00043668,-0.00003743,-0.00137400,0.00012342,-0.00049968,0.00000444,0.00082001,0.00046422,-0.00106670
1995/07/04,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1995/07/05,0.00210802,-0.00057549,-0.00058777,0.00107829,0.00060697,0.00141669,0.00105296,-0.00149827,0.00028479,0.00077812,0.00129552,-0.00099753,-0.00009115,0.00096188,-0.00143959,0.00030151
1995/07/06,0.00291458,0.00028524,-0.00030513,0.00070817,0.00169434,0.00101427,0.00033921,-0.00177629,0.00166693,0.00000494,0.00040036,-0.00001738,0.00024757,-0.00049080,0.00121927,-0.00036382
1995/07/07,0.00325441,0.00012781,-0.00036026,0.00204643,0.00031810,0.00116331,0.00203465,-0.00123434,0.00110732,0.00208463,0.00107963,-0.00215883,0.00024252,0.00195724,-0.00308128,-0.00184240
1995/07/10,-0.00070277,-0.00184098,-0.00047856,0.00053251,-0.00137995,-0.00044618,0.00133758,-0.00082200,0.00130015,-0.00059728,0.00064836,-0.00079806,0.00028707,0.00009721,-0.00199478,0.00025202
1995/07/11,-0.00209998,0.00125146,0.00039424,0.00012226,-0.00015012,-0.00079445,0.00026064,0.00126822,-0.00138331,-0.00146412,-0.00251168,-0.00005427,-0.00001616,0.00113037,-0.00136696,-0.00117781
1995/07/12,0.00237661,0.00127349,-0.00080099,0.00064451,0.00083151,-0.00020038,0.00091290,-0.00116380,-0.00012637,-0.00039711,0.00173570,-0.00136804,-0.00013508,0.00136556,-0.00001217,-0.00011894
1995/07/13,-0.00089087,-0.00025207,0.00127106,-0.00058616,0.00253274,-0.00006485,0.00120132,0.00098692,-0.00091097,-0.00104971,0.00134790,0.00009693,-0.00060602,0.00082581,0.00010219,0.00166334
1995/07/14,0.00016431,-0.00037966,-0.00130954,-0.00124155,0.00060853,0.00037255,0.00007791,-0.00054744,0.00141476,-0.00032859,0.00154186,0.00090789,0.00025214,0.00162378,-0.00102347,0.00006917
1995/07/17,-0.00001354,-0.00027255,-0.00015099,-0.00041629,-0.00020344,0.00022173,-0.00058566,-0.00040279,-0.00014237,-0.00058123,0.00104962,0.00056415,0.00006949,-0.00157935,0.00027678,0.00057065
1995/07/18,-0.00238694,0.00037273,0.00099001,0.00002442,0.00025816,0.00037711,-0.00095254,0.00097915,-0.00061700,-0.00011174,0.00021254,0.00057757,0.00018268,-0.00084415,-0.00031943,0.00043455
1995/07/19,-0.00343748,0.00208414,0.00197219,0.00149831,-0.00197438,-0.00118481,-0.00126159,0.00082572,0.00048876,-0.00115486,-0.00250428,0.00025142,-0.00051405,-0.00188595,0.00209543,0.00034293
1995/07/20,0.00393663,0.00030874,0.00116287,0.00165338,-0.00059821,-0.00092607,0.00157267,0.00010941,0.00029369,0.00146935,0.00026598,-0.00248489,-0.00060433,0.00333311,-0.00278709,-0.00146966
1995/07/21,-0.00012859,-0.00029955,0.00059480,-0.00193897,-0.00028745,0.00022989,-0.00065900,-0.00028321,-0.00067585,-0.00044008,0.00081002,0.00002172,-0.00002105,-0.00020350,-0.00178746,-0.00049241
1995/07/24,0.00313746,-0.00034234,-0.00089505,0.00107917,-0.00012703,-0.00060458,0.00068677,0.00051138,-0.00052567,0.00062048,0.00185584,0.00063354,-0.00083111,0.00174501,-0.00134099,0.00014433
1995/07/25,0.00133054,0.00038568,0.00091098,-0.00144560,0.00076992,-0.00057300,0.00096638,-0.00014574,-0.00026236,-0.00043284,0.00355977,0.00022941,0.00117114,-0.00036471,0.00110075,0.00167575
1995/07/26,-0.00014061,-0.00097299,-0.00001538,-0.00054915,0.00197594,0.00049736,0.00000424,0.00007797,-0.00011181,0.00072306,0.00091271,0.00072078,-0.00005929,-0.00086546,-0.00076808,-0.00047074
1995/07/27,0.00194173,-0.00074576,0.00124650,-0.00057449,0.00078327,0.00029027,0.00113251,0.00060743,-0.00031920,0.00207346,0.00111650,0.00050134,-0.00015901,0.00105851,-0.00075498,0.00040042
1995/07/28,-0.00106531,-0.00105424,0.00093843,0.00191633,-0.00115667,-0.00064344,0.00067780,0.00116188,0.00020709,0.00084607,0.00050111,-0.00098594,0.00020690,0.00305251,-0.00242474,0.00023666
1995/07/31,-0.00053701,-0.00049422,-0.00000911,-0.00166837,-0.00018670,0.00043386,-0.00035901,-0.00167941,0.00017334,-0.00051812,-0.00076122,-0.00154107,0.00020360,-0.00113433,-0.00105428,0.00008694
1995/08/01,-0.00178388,-0.00050861,0.00020198,0.00055698,-0.00110288,-0.00042265,-0.00055264,0.00109659,0.00047183,0.00134751,-0.00125841,-0.00152418,0.00015956,-0.00045847,-0.00021566,-0.00068494
1995/08/02,-0.00229807,0.00108242,-0.00098824,0.00011337,-0.00053858,-0.00090423,-0.00011627,0.00060691,0.00048744,-0.00073042,0.00027907,-0.00209628,0.00052566,-0.00138292,0.00007899,0.00041829
1995/08/03,0.00032175,0.00044036,-0.00122223,0.00110384,-0.00074383,-0.00025527,-0.00010521,-0.00005073,0.00022569,-0.00084718,0.00080721,-0.00024100,-0.00002286,0.00019135,0.00060396,0.00139392
1995/08/04,0.00103788,-0.00039327,0.00010053,0.00078007,0.00132229,0.00014209,0.00009987,0.00028231,0.00004838,0.00018805,0.00015592,-0.00037055,-0.00044928,-0.00019196,-0.00125683,-0.00031434
1995/08/07,0.00030212,-0.00007588,-0.00026922,0.00177448,0.00056369,-0.00068152,-0.00014341,0.00027429,-0.00053673,-0.00060459,0.00041391,-0.00043335,-0.00065711,0.00003036,-0.00015589,0.00025629
